date,reserves_usd_mn,reserves_chg_usd_mn
2018-07-31,7900.4038,-170.45070000000032
2018-08-31,7799.9913,-100.41250000000036
2018-09-30,7468.7727,-331.21859999999924
2018-10-31,6866.1755,-602.5972000000002
2018-11-30,6537.8323,-328.34320000000025
2018-12-31,7494.9984,957.1661000000004
2019-01-31,7571.5875,76.58909999999923
2019-02-28,7525.2953,-46.292199999999866
2019-03-31,8336.4212,811.1259000000009
2019-04-30,8138.8919,-197.52930000000106
2019-05-31,7739.3372,-399.5546999999997
2019-06-30,7793.1675,53.830299999999625
2019-07-31,7877.6173,84.44980000000032
2019-08-31,7707.7113,-169.90599999999995
2019-09-30,7462.5071,-245.20420000000013
2019-10-31,7692.66832403,230.16122403000008
2019-11-30,9150.33149711,1457.663173080001
2019-12-31,8912.34309837,-237.98839874000078
2020-01-31,8211.4247,-700.9183983700004
2020-02-29,8102.0592,-109.36549999999988
2020-03-31,8032.85770802,-69.20149197999945
2020-04-30,8530.92815931,498.07045129000016
2020-05-31,8552.73441024,21.806250929999806
2020-06-30,8565.13666715,12.402256909999778
2020-07-31,8340.177,-224.9596671500003
2020-08-31,7934.06931136,-406.10768863999965
2020-09-30,8238.13801602,304.06870466000055
2020-10-31,7809.19554759,-428.9424684300002
2020-11-30,7457.59998311,-351.5955644800006
2020-12-31,7224.66635152,-232.93363159
2021-01-31,7265.95785361,41.291502089999994
2021-02-28,7296.84548283,30.887629220000235
2021-03-31,7169.0402848,-127.8051980299997
2021-04-30,7098.40880198,-70.6314828200002
2021-05-31,6831.14342772,-267.2653742600005
2021-06-30,7137.05667226,305.91324454000005
2021-07-31,7375.91289436,238.8562221000002
2021-08-31,7564.31150128,188.39860692000002
2021-09-30,7568.28222461,3.97072333000051
2021-10-31,7313.08747633,-255.19474828000057
2021-11-30,6780.75250017,-532.3349761600002
2021-12-31,6918.14016955,137.38766938000026
2022-01-31,6827.93364711,-90.2065224400003
2022-02-28,6567.83410806,-260.0995390499993
2022-03-31,7054.1006916,486.2665835399994
2022-04-30,6965.14130924,-88.95938235999984
2022-05-31,6618.73515813,-346.4061511099999
2022-06-30,6197.32415096,-421.4110071699997
2022-07-31,6510.84018587,313.5160349099997
2022-08-31,7581.09746305,1070.2572771800005
2022-09-30,7566.24932617,-14.848136880000311
2022-10-31,7753.67472735,187.42540117999943
2022-11-30,8278.49478532,524.8200579699997
2022-12-31,8550.01213693,271.51735161000033
2023-01-31,8281.58061214,-268.43152478999946
2023-02-28,8564.01769802,282.43708587999936
2023-03-31,9136.6194425,572.60174448
2023-04-30,11137.79365977,2001.1742172700015
2023-05-31,11021.06168924,-116.73197053000149
2023-06-30,11138.79085952,117.7291702800012
2023-07-31,11353.89751554,215.10665601999972
2023-08-31,11320.87790022,-33.0196153199995
2023-09-30,11333.6419595,12.764059279999856
2023-10-31,11493.50023052,159.85827101999894
2023-11-30,12876.93603778,1383.4358072600007
2023-12-31,13218.91280914,341.9767713599995
2024-01-31,14337.06231155,1118.1495024100004
2024-02-29,13756.76008629,-580.3022252600003
2024-03-31,13387.62037905,-369.13970723999955
2024-04-30,13551.48527088,163.8648918300005
2024-05-31,13009.64368813,-541.8415827500012
2024-06-30,13743.30260137,733.6589132400004
2024-07-31,14061.19830265,317.89570128000014
2024-08-31,14212.45052905,151.25222639999993
2024-09-30,14199.84498755,-12.605541500000982
2024-10-31,14184.32447122,-15.520516329999737
2024-11-30,14057.42124734,-126.90322387999913
2024-12-31,14170.61318923,113.19194188999973
2025-01-31,14458.01308255,287.39989332000005
2025-02-28,14575.33992382,117.32684126999993
2025-03-31,14639.02401384,63.68409002000044
2025-04-30,14660.88017842,21.85616458000004
2025-05-31,14376.1260829,-284.7540955200002
2025-06-30,14811.66793334,435.5418504400004
2025-07-31,14605.43780327,-206.2301300700001
2025-08-31,15246.42420781,640.9864045399991
2025-09-30,15783.52654689,537.1023390800001
2025-10-31,16074.98099668,291.4544497900006
2025-11-30,17094.76286011,1019.7818634300002
2025-12-31,17081.66343027,-13.099429840000084
2026-01-31,18623.92352096,1542.2600906900007
2026-02-28,19205.21715634,581.2936353799996
2026-03-31,19228.54262308,23.325466739999683
2026-04-30,20970.14082902,1741.5982059400012
2026-05-31,20341.65719997,-628.4836290500025
2026-06-30,20704.166391,362.5091910299998
